colour,lat,long,date,neighbourhood
#DCE7D7,49.284864,-123.123100,Wednesday_Feb_18_2015,Robson Street
#7EA397,49.286797,-123.142540,Wednesday_Feb_18_2015,West End
#D465B8,49.285721,-123.118294,Wednesday_Feb_18_2015,Coal Harbor
#BBC5BD,49.293751,-123.149306,Wednesday_Feb_18_2015,Stanley Park
#010101,49.286846,-123.109235,Wednesday_Feb_18_2015,Gastown
#7AAB9A,49.280570,-123.104691,Wednesday_Feb_18_2015,Chinatown
#150B0D,49.268967,-123.102936,Wednesday_Feb_18_2015,False Creek
#19080F,49.269080,-123.135232,Wednesday_Feb_18_2015,Granville Island
#191211,49.266667,-123.166667,Wednesday_Feb_18_2015,Kitsilano
#F5F1F5,49.250000,-123.100000,Wednesday_Feb_18_2015,Main Street
#090615,49.232662,-123.076689,Wednesday_Feb_18_2015,South Vancouver
#ECE5E1,49.258366,-123.097796,Wednesday_Feb_18_2015,Main Street
#FAFAFA,49.279790,-123.134040,Wednesday_Feb_18_2015,West End
#F1E6EB,49.284042,-123.107463,Wednesday_Feb_18_2015,Gastown
#FAFBFB,49.293751,-123.149306,Wednesday_Feb_18_2015,Stanley Park
#030303,49.286426,-123.112413,Wednesday_Feb_18_2015,Gastown
#E8E5E1,49.270813,-123.147293,Wednesday_Feb_18_2015,Kitsilano
#EDF2F2,49.277384,-123.125199,Wednesday_Feb_18_2015,Yaletown
#14755F,49.289711,-123.116074,Wednesday_Feb_18_2015,Coal Harbor
#0B0807,49.265968,-123.138901,Wednesday_Feb_18_2015,Fairview
#908891,49.266472,-123.140701,Wednesday_Feb_18_2015,Fairview
#BCBCB1,49.278497,-123.098809,Wednesday_Feb_18_2015,Chinatown
#FCFAFD,49.300000,-123.140000,Wednesday_Feb_18_2015,Stanley Park
#CFF6F0,49.287802,-123.114354,Wednesday_Feb_18_2015,Gastown
#110E08,49.266922,-123.096717,Wednesday_Feb_18_2015,Main Street
#040401,49.280796,-123.117943,Wednesday_Feb_18_2015,Yaletown
#816A74,49.296917,-123.134216,Wednesday_Feb_18_2015,Coal Harbor
#A74F87,49.272209,-123.155342,Wednesday_Feb_18_2015,Kitsilano
#ECE6EA,49.264647,-123.138561,Wednesday_Feb_18_2015,Fairview
#82B8A0,49.296917,-123.134216,Wednesday_Feb_18_2015,Coal Harbor
#F9F7F8,49.282761,-123.118713,Wednesday_Feb_18_2015,Chinatown
#05130B,49.288128,-123.114868,Wednesday_Feb_18_2015,Gastown
#146F5E,49.289711,-123.116074,Wednesday_Feb_18_2015,Coal Harbor
#A07C86,49.281959,-123.106224,Wednesday_Feb_18_2015,Gastown
#DCEBE8,49.265896,-123.114395,Wednesday_Feb_18_2015,Mount Pleasant
#77CEB7,49.268405,-123.121225,Wednesday_Feb_18_2015,False Creek
#020303,49.300743,-123.130331,Wednesday_Feb_18_2015,Stanley Park
#091608,49.282556,-123.107694,Wednesday_Feb_18_2015,Gastown
#060805,49.256206,-123.101044,Wednesday_Feb_18_2015,Main Street
#071107,49.279796,-123.121661,Wednesday_Feb_18_2015,Yaletown
#060707,49.289923,-123.126048,Wednesday_Feb_18_2015,Robson Street
#F5F2F7,49.288128,-123.114868,Wednesday_Feb_18_2015,Gastown
#FDF6FC,49.284018,-123.108928,Wednesday_Feb_18_2015,Gastown
#E9E5E9,49.276134,-123.121269,Wednesday_Feb_18_2015,Yaletown
#E8D4DF,49.281448,-123.108070,Wednesday_Feb_18_2015,Gastown
#0F0204,49.279164,-123.116256,Wednesday_Feb_18_2015,Yaletown
#0C2012,49.277290,-123.148804,Wednesday_Feb_18_2015,Kitsilano
#DCCFD5,49.281067,-123.102051,Wednesday_Feb_18_2015,Gastown
